title,creator,date,description,coverage,subject,latitude,longitude,type,format,donor,collection,cdm-number,cdm-alias,portal-id
"La France fire engine at Potlatch Mercantile fire. Potlatch, Idaho.",,1963-01-13,Fire engine is 48 years old.,Potlatch,fire engines,46.92156,-116.898219,Image;StillImage,image/jpeg,,Idaho Cities & Towns Collection,824,cities,cities-824
"Fire at Potlatch Mercantile. Potlatch, Idaho.",,1963-01-13,Mercantile burned to the ground,Potlatch,fires; firefighters; fire equipment; stores,46.92166,-116.898266,Image;StillImage,image/jpeg,,Idaho Cities & Towns Collection,825,cities,cities-825
"Fire at Potlatch Mercantile. Potlatch, Idaho.",,1963-01-13,,Potlatch,fires; firefighters; fire equipment; stores,46.92177,-116.898277,Image;StillImage,image/jpeg,,Idaho Cities & Towns Collection,826,cities,cities-826
"Potlatch Lumber Mill. Potlatch, Idaho.",,1908,From the files of C.J. Brosnan,Potlatch,lumber mills,46.922475,-116.913779,Image;StillImage,image/jpeg,,Idaho Cities & Towns Collection,827,cities,cities-827
"Flood. Potlatch, Idaho.",,1933-12-23,"Potlatch Lumber Company was flooded, including 2 ft. of water in the lunch room",Potlatch,flood; towns,46.917777,-116.895947,Image;StillImage,image/jpeg,,Idaho Cities & Towns Collection,829,cities,cities-829
Dry sheds & remanufacturing sheds [04],,1924,East end remanufacturing shed.,United States--Idaho--Latah County--Potlatch,exteriors; logs; buildings,46.921395,-116.901443,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,0,plcphotos,plcphotos-0
Exterior views of buildings [03],,1949,Entrance to plant showing 1949 landscaping.,United States--Idaho--Latah County--Potlatch,exteriors; buildings,46.921475,-116.902575,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,1,plcphotos,plcphotos-1
"Potlatch Unit picnic, 1949 [02]",,1949,Four boys wearing P.F.I. tee shirts,United States--Washington--Whitman County--Palouse,boys,46.908807,-117.080837,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,2,plcphotos,plcphotos-2
"Potlatch Unit picnic,1949, Sporting events [01]",,1949,Rolling pin throwing contest (for wives only).,United States--Washington--Whitman County--Palouse,women; parks; railroad bridges,46.908807,-117.080837,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,3,plcphotos,plcphotos-3
"Memorial Day celebration, 1950 [02]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,parks; monuments; soldiers,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,4,plcphotos,plcphotos-4
"Memorial Day celebration, 1950 [01]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,parks; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,5,plcphotos,plcphotos-5
"Memorial Day celebration, 1950 [03]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,spectators; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,6,plcphotos,plcphotos-6
Individual      employees [05],,1945,Edwin Chambers with Harland Owens.  Both home after 3 1/2 years in Japanese prison camps.  The are survivors of Bataan and Corregidor.,United States--Idaho--Latah County--Potlatch,photographs,46.921511,-116.899011,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,7,plcphotos,plcphotos-7
"Memorial Day celebration, 1950 [06]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,soldiers; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,8,plcphotos,plcphotos-8
"Memorial Day celebration, 1950 [05]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,soldiers; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,9,plcphotos,plcphotos-9
"Memorial Day celebration, 1950 [04]",,1950,Potlatch Idaho,United States--Idaho--Latah County--Potlatch,soldiers; ceremonies,46.92156,-116.898219,Image;StillImage,image/jpeg,Potlatch Corporation,Potlatch Lumber Co. Photos,10,plcphotos,plcphotos-10
